Unnamed: 0,city,temp_max,humidity,cloudiness,url,lat,lon,date,wind_speed,country
annecy-le-vieux,annecy-le-vieux,53.6,58,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=annecy-le-vieux,45.92,6.14,1603807983,4.7,FR
normandin,normandin,24.8,79,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=normandin,48.83,-72.53,1603807984,9.17,CA
kendari,kendari,78.35,79,96,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kendari,-3.94,122.5,1603807975,2.64,ID
voh,voh,71.56,85,26,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=voh,-20.97,164.7,1603807984,4.45,NC
portland,portland,35.01,74,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=portland,45.52,-122.68,1603807817,1.03,US
ciudad bolivar,ciudad bolivar,84.43,66,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ciudad bolivar,8.12,-63.55,1603807984,11.01,VE
andenes,andenes,41.0,80,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=andenes,69.31,16.12,1603807984,10.29,NO
miracema do tocantins,miracema do tocantins,79.93,74,96,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=miracema do tocantins,-9.56,-48.4,1603807984,2.75,BR
kikwit,kikwit,85.44,64,85,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kikwit,-5.04,18.82,1603807984,3.56,CD
bokoro,bokoro,99.09,11,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=bokoro,12.38,17.06,1603807984,8.97,TD
hervey bay,hervey bay,68.0,100,83,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=hervey bay,-25.3,152.85,1603807984,6.93,AU
varangaon,varangaon,77.65,43,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=varangaon,21.02,75.9,1603807984,4.52,IN
catamarca,catamarca,84.99,34,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=catamarca,-28.47,-65.79,1603807984,4.0,AR
kalmunai,kalmunai,80.64,77,26,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kalmunai,7.42,81.82,1603807985,2.13,LK
mindif,mindif,95.63,15,2,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mindif,10.4,14.44,1603807985,7.85,CM
venado,venado,59.04,74,41,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=venado,22.93,-101.08,1603807985,2.82,MX
gualeguaychu,gualeguaychu,64.99,41,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=gualeguaychu,-33.01,-58.52,1603807985,5.01,AR
vao,vao,72.55,79,65,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=vao,-22.67,167.48,1603807986,18.34,NC
viet tri,viet tri,78.8,74,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=viet tri,21.3,105.43,1603807986,4.7,VN
alice springs,alice springs,66.2,22,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=alice springs,-23.7,133.88,1603807986,5.82,AU
ahipara,ahipara,58.06,92,58,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=ahipara,-35.17,173.17,1603807986,2.64,NZ
scottsbluff,scottsbluff,12.99,91,1,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=scottsbluff,41.87,-103.67,1603807986,5.82,US
angoche,angoche,81.48,70,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=angoche,-16.23,39.91,1603807986,13.4,MZ
senador pompeu,senador pompeu,91.38,42,80,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=senador pompeu,-5.59,-39.37,1603807986,5.55,BR
vardo,vardo,35.6,93,75,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=vardo,70.37,31.11,1603807986,27.51,NO
kibala,kibala,95.0,34,20,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kibala,9.11,18.35,1603807986,4.7,TD
jining,jining,63.0,1,100,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=jining,35.41,116.58,1603807986,7.56,CN
mkushi,mkushi,87.62,21,95,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=mkushi,-13.62,29.39,1603807987,9.26,ZM
kamen-rybolov,kamen-rybolov,45.05,59,97,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=kamen-rybolov,44.75,132.04,1603807987,7.92,RU
khor,khor,40.51,83,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=khor,47.89,134.95,1603807929,3.71,RU
worthington,worthington,46.99,93,90,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=worthington,40.09,-83.02,1603807801,5.82,US
saint-pierre,saint-pierre,78.8,61,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=saint-pierre,-21.34,55.48,1603807987,6.93,RE
sao teotonio,sao teotonio,64.0,65,26,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=sao teotonio,37.51,-8.71,1603807987,7.0,PT
moron,moron,71.01,39,0,http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=e4068837b9354a5b158691132cc2699e&q=moron,-34.65,-58.62,1603807987,8.05,AR
